count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_3,717405696,46.302533864974976,14.761695427559594,967,966,32,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_3,717405696,48.18029022216797,14.1863799343521,967,966,32,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_3,717405696,25.496599674224854,26.807649301173107,967,966,32,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_3,717405696,51.68494391441345,13.224429605086883,967,966,32,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_3,717405696,25.020153284072876,27.318134092892375,967,966,32,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_3,717405696,51.25878977775574,13.334374560977983,967,966,32,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_3,717405696,50.10044002532959,13.642672641067845,967,966,32,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_3,717405696,24.919618844985962,27.428344979544146,967,966,32,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_3,717405696,24.025460481643677,28.44914889191182,967,966,32,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_3,717405696,24.09709930419922,28.36457176071459,967,966,32,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_3,717405696,12.443730115890503,54.927573651424474,967,966,32,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_3,717405696,27.896339893341064,24.50156203474488,967,966,32,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_3,717405696,14.522883892059326,47.063923909268716,967,966,32,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_3,717405696,31.085440635681152,21.987911011126876,967,966,32,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_3,717405696,29.355522394180298,23.28365658975731,967,966,32,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_3,717405696,14.727275133132935,46.410751225887,967,966,32,231787.5,260775.0,8967250.0,8996200.0
