count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_5,358702848,21.075448751449585,16.21564291464998,967,966,16,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_5,358702848,15.444437503814697,22.12783412378089,967,966,16,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_5,358702848,11.530125141143799,29.639916916427335,967,966,16,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_5,358702848,15.802030563354492,21.6270908886892,967,966,16,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_5,358702848,11.312317371368408,30.210604953896528,967,966,16,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_5,358702848,19.531871557235718,17.497143078073734,967,966,16,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_5,358702848,15.36155390739441,22.247225331482063,967,966,16,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_5,358702848,10.928030729293823,31.272967626583206,967,966,16,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_5,358702848,11.502818584442139,29.71027915555763,967,966,16,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_5,358702848,10.109254837036133,33.805849860216625,967,966,16,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_5,358702848,7.707312107086182,44.34126274778751,967,966,16,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_5,358702848,10.056864023208618,33.98196002559425,967,966,16,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_5,358702848,8.066595792770386,42.36631659736866,967,966,16,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_5,358702848,13.816534996032715,24.73499696686926,967,966,16,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_5,358702848,10.213520288467407,33.46074042711809,967,966,16,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_5,358702848,7.838241815567017,43.60058789469612,967,966,16,231787.5,260775.0,8967250.0,8996200.0
