count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_4,717405696,27.57404351234436,24.787946030948746,967,966,32,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_4,717405696,39.9671049118042,17.101661577622874,967,966,32,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_4,717405696,15.632553100585938,43.72311407107297,967,966,32,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_4,717405696,31.811805248260498,21.48585712457796,967,966,32,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_4,717405696,16.677461862564087,40.98368852956493,967,966,32,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_4,717405696,32.224560260772705,21.21065103473455,967,966,32,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_4,717405696,25.04805850982666,27.28769984990563,967,966,32,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_4,717405696,14.637489080429077,46.695433805849746,967,966,32,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_4,717405696,47.83967876434326,14.28738486740145,967,966,32,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_4,717405696,58.309465408325195,11.722005983979342,967,966,32,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_4,717405696,29.874199151992798,22.87940503313644,967,966,32,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_4,717405696,54.80753707885742,12.47098371626506,967,966,32,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_4,717405696,32.17255401611328,21.244937597950685,967,966,32,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_4,717405696,59.5915641784668,11.469809726625805,967,966,32,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_4,717405696,50.27847862243652,13.594363257722245,967,966,32,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_4,717405696,28.030470609664917,24.38431776465972,967,966,32,231787.5,260775.0,8967250.0,8996200.0
