count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_4,768,14.237650871276855,5.1392418853964355e-05,1,1,32,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_4,768,12.710352420806885,5.7567822893357675e-05,1,1,32,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_4,768,21.41018533706665,3.417566478541376e-05,1,1,32,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_4,768,20.657081604003906,3.542162107407011e-05,1,1,32,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_4,768,12.74560809135437,5.740858433969142e-05,1,1,32,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_4,768,13.854501008987427,5.28136896881751e-05,1,1,32,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_4,768,12.694044589996338,5.7641779330899753e-05,1,1,32,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_4,768,11.560721635818481,6.329252966407637e-05,1,1,32,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_4,768,14.756154537200928,4.9586585395843056e-05,1,1,32,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_4,768,13.910094499588013,5.2602612950964665e-05,1,1,32,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_4,768,20.374339818954468,3.591317920360077e-05,1,1,32,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_4,768,22.873306035995483,3.198957404415831e-05,1,1,32,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_4,768,15.97072982788086,4.5815521579721085e-05,1,1,32,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_4,768,16.141802549362183,4.532996329471785e-05,1,1,32,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_4,768,16.54742980003357,4.4218789619623365e-05,1,1,32,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_4,768,14.470808267593384,5.0564370942001276e-05,1,1,32,231787.5,260775.0,8967250.0,8996200.0
