count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_4,358702848,13.806043148040771,24.753794230174524,967,966,16,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_4,358702848,17.36917281150818,19.67577586614141,967,966,16,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_4,358702848,9.677210569381714,35.315130198861326,967,966,16,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_4,358702848,15.425286531448364,22.15530651717646,967,966,16,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_4,358702848,8.271234035491943,41.31813339497484,967,966,16,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_4,358702848,17.11759090423584,19.964956116280582,967,966,16,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_4,358702848,12.717344522476196,26.87290185584825,967,966,16,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_4,358702848,8.429362058639526,40.54303858845873,967,966,16,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_4,358702848,25.975831270217896,13.156535691365594,967,966,16,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_4,358702848,30.940974235534668,11.045287346738474,967,966,16,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_4,358702848,16.334246397018433,20.922419248058716,967,966,16,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_4,358702848,28.11405038833618,12.155913022098607,967,966,16,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_4,358702848,17.599151611328125,19.418660556315405,967,966,16,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_4,358702848,33.98316836357117,10.05650643175046,967,966,16,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_4,358702848,27.625226736068726,12.37100981956125,967,966,16,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_4,358702848,19.019472360610962,17.968529554335866,967,966,16,231787.5,260775.0,8967250.0,8996200.0
