count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_4,358702848,13.87485671043396,24.63102562799896,967,966,16,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_4,358702848,17.483948230743408,19.546611938519856,967,966,16,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_4,358702848,9.481175184249878,36.045315541393045,967,966,16,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_4,358702848,14.894351243972778,22.9450712972683,967,966,16,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_4,358702848,8.509367942810059,40.161849095769036,967,966,16,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_4,358702848,17.307481050491333,19.745909310691424,967,966,16,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_4,358702848,12.881901502609253,26.52961995946714,967,966,16,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_4,358702848,8.496785640716553,40.22132199991472,967,966,16,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_4,358702848,25.904878854751587,13.19257091051119,967,966,16,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_4,358702848,31.18679928779602,10.958224602203604,967,966,16,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_4,358702848,15.93064284324646,21.452489681820495,967,966,16,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_4,358702848,27.58851671218872,12.38747101864033,967,966,16,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_4,358702848,18.20494771003723,18.772476398330355,967,966,16,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_4,358702848,33.44163513183594,10.219355299830104,967,966,16,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_4,358702848,27.77727437019348,12.303293212462577,967,966,16,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_4,358702848,19.060776710510254,17.92959208378259,967,966,16,231787.5,260775.0,8967250.0,8996200.0
